order_date,product_id,Unnamed: 0,order_id,customer_id,city,province,brand,quantity,item_price
2019-01-01,P0648,0,1612339,18055,Jakarta Selatan,DKI Jakarta,BRAND_C,4,1934000
2019-01-01,P3826,1,1612339,18055,Jakarta Selatan,DKI Jakarta,BRAND_V,8,604000
2019-01-01,P1508,2,1612339,18055,Jakarta Selatan,DKI Jakarta,BRAND_G,12,747000
2019-01-01,P0520,3,1612339,18055,Jakarta Selatan,DKI Jakarta,BRAND_B,12,450000
2019-01-01,P1513,4,1612339,18055,Jakarta Selatan,DKI Jakarta,BRAND_G,3,1500000
2019-01-01,P3911,5,1612339,18055,Jakarta Selatan,DKI Jakarta,BRAND_V,3,2095000
2019-01-01,P1780,6,1612339,18055,Jakarta Selatan,DKI Jakarta,BRAND_H,3,2095000
2019-01-01,P3132,7,1612339,18055,Jakarta Selatan,DKI Jakarta,BRAND_S,3,1745000
2019-01-01,P1342,8,1612339,18055,Jakarta Selatan,DKI Jakarta,BRAND_F,6,1045000
2019-01-01,P2556,9,1612339,18055,Jakarta Selatan,DKI Jakarta,BRAND_P,6,1045000
2019-01-01,P2154,10,1612339,18055,Jakarta Selatan,DKI Jakarta,BRAND_M,4,1745000
2019-01-01,P1685,11,1612339,18055,Jakarta Selatan,DKI Jakarta,BRAND_H,12,747000
2019-01-01,P3665,12,1612339,18055,Jakarta Selatan,DKI Jakarta,BRAND_S,4,2375000
2019-01-01,P0219,13,1612339,18055,Jakarta Selatan,DKI Jakarta,BRAND_A,8,1045000
2019-01-01,P1680,14,1612339,18055,Jakarta Selatan,DKI Jakarta,BRAND_H,12,747000
2019-01-01,P1679,15,1612339,18055,Jakarta Selatan,DKI Jakarta,BRAND_H,12,747000
2019-01-01,P2159,16,1612339,18055,Jakarta Selatan,DKI Jakarta,BRAND_M,24,310000
2019-01-01,P3837,17,1612339,18055,Jakarta Selatan,DKI Jakarta,BRAND_V,4,1500000
2019-01-01,P2783,18,1612339,18055,Jakarta Selatan,DKI Jakarta,BRAND_P,2,555000
2019-01-01,P1255,19,1612339,18055,Jakarta Selatan,DKI Jakarta,BRAND_E,3,1500000
2019-01-01,P1118,20,1612339,18055,Jakarta Selatan,DKI Jakarta,BRAND_D,4,2795000
2019-01-01,P2660,21,1612339,18055,Jakarta Selatan,DKI Jakarta,BRAND_P,6,1045000
2019-01-01,P1597,22,1612339,18055,Jakarta Selatan,DKI Jakarta,BRAND_G,18,520000
2019-01-01,P0968,23,1612339,18055,Jakarta Selatan,DKI Jakarta,BRAND_C,6,904000
2019-01-01,P4075,24,1612339,18055,Jakarta Selatan,DKI Jakarta,BRAND_W,6,904000
2019-01-01,P4057,25,1612339,18055,Jakarta Selatan,DKI Jakarta,BRAND_W,4,2095000
2019-01-01,P4060,26,1612339,18055,Jakarta Selatan,DKI Jakarta,BRAND_W,6,2795000
2019-01-01,P4009,27,1612339,18055,Jakarta Selatan,DKI Jakarta,BRAND_W,6,1045000
2019-01-01,P1306,28,1612342,13963,Jakarta Utara,DKI Jakarta,BRAND_F,8,1325000
2019-01-01,P1305,29,1612342,13963,Jakarta Utara,DKI Jakarta,BRAND_F,4,1325000
2019-01-01,P1307,30,1612342,13963,Jakarta Utara,DKI Jakarta,BRAND_F,8,1325000
2019-01-01,P0708,31,1612342,13963,Jakarta Utara,DKI Jakarta,BRAND_C,12,520000
2019-01-01,P0709,32,1612342,13963,Jakarta Utara,DKI Jakarta,BRAND_C,12,520000
2019-01-01,P0704,33,1612342,13963,Jakarta Utara,DKI Jakarta,BRAND_C,6,1045000
2019-01-01,P3599,34,1612342,13963,Jakarta Utara,DKI Jakarta,BRAND_S,4,2095000
2019-01-01,P0327,35,1612345,17450,Bogor,Jawa Barat,BRAND_B,6,2322000
2019-01-01,P1742,36,1612369,17450,Bogor,Jawa Barat,BRAND_H,402,688000
2019-01-01,P1741,37,1612369,17450,Bogor,Jawa Barat,BRAND_H,378,1136000
